Rk,Ht,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,6-1,2001,2001,VAN,NBA,Mahmoud Abdul-Rauf\abdulma02,41,0,486,120,246,116,232,4,14,22,29,5,20,25,76,9,1,26,50,266,0.488,0.5,0.286,0.496,0.759,0.514
2,6-6,2000,2003,TOT,NBA,Tariq Abdul-Wahad\abdulta01,128,80,2643,399,962,391,926,8,36,194,268,170,304,474,165,99,54,174,283,1000,0.415,0.422,0.222,0.419,0.724,0.463
3,6-9,2000,2008,TOT,NBA,Shareef Abdur-Rahim\abdursh01,618,501,21109,3845,8061,3730,7656,115,405,2748,3345,1312,3417,4729,1549,583,428,1468,1787,10553,0.477,0.487,0.284,0.484,0.822,0.554
4,6-6,2017,2018,OKC,NBA,Alex Abrines\abrinal01,143,14,2189,249,632,71,164,178,468,83,95,44,156,200,68,75,16,58,238,759,0.394,0.433,0.38,0.535,0.874,0.563
5,6-5,2006,2009,TOT,NBA,Alex Acker\ackeral01,30,0,234,34,92,26,67,8,25,5,10,9,20,29,16,6,4,11,13,81,0.37,0.388,0.32,0.413,0.5,0.42
6,6-7,2013,2018,TOT,NBA,Quincy Acy\acyqu01,327,60,5269,579,1296,398,788,181,508,286,376,306,847,1153,209,139,131,215,641,1625,0.447,0.505,0.356,0.517,0.761,0.556
7,6-4,2007,2009,TOT,NBA,Hassan Adams\adamsha01,73,8,547,79,148,79,147,0,1,27,42,36,48,84,14,18,5,26,51,185,0.534,0.537,0,0.534,0.643,0.556
8,6-5,2015,2016,MEM,NBA,Jordan Adams\adamsjo01,32,0,263,37,92,27,66,10,26,17,28,9,21,30,19,19,7,16,26,101,0.402,0.409,0.385,0.457,0.607,0.484
9,7-0,2014,2018,OKC,NBA,Steven Adams\adamsst01,387,323,9858,1393,2377,1393,2372,0,5,613,1081,1225,1461,2686,345,301,388,528,1058,3399,0.586,0.587,0,0.586,0.567,0.596
10,6-10,2018,2018,MIA,NBA,Bam Adebayo\adebaba01,69,19,1368,174,340,174,333,0,7,129,179,118,263,381,101,32,41,66,138,477,0.512,0.523,0,0.512,0.721,0.57
11,6-7,2011,2015,TOT,NBA,Jeff Adrien\adrieje01,153,17,2148,264,557,264,555,0,2,181,288,221,438,659,100,50,79,91,259,709,0.474,0.476,0,0.474,0.628,0.518
12,6-5,2008,2018,TOT,NBA,Arron Afflalo\afflaar01,762,537,20829,2983,6633,2131,4428,852,2205,1380,1673,334,1842,2176,1386,341,141,852,1481,8198,0.45,0.481,0.386,0.514,0.825,0.556
13,6-5,2007,2011,TOT,NBA,Maurice Ager\agerma01,82,4,505,64,189,53,145,11,44,30,53,8,38,46,19,6,6,29,65,169,0.339,0.366,0.25,0.368,0.566,0.398
14,6-2,2008,2012,TOT,NBA,Blake Ahearn\ahearbl01,19,0,226,21,77,7,30,14,47,32,33,1,21,22,22,7,0,22,27,88,0.273,0.233,0.298,0.364,0.97,0.481
15,7-2,2009,2017,TOT,NBA,Alexis Ajinca\ajincal01,293,76,3905,645,1283,633,1241,12,42,251,315,346,804,1150,143,102,181,249,661,1553,0.503,0.51,0.286,0.507,0.797,0.546
16,5-11,2013,2013,DAL,NBA,Josh Akognon\akognjo01,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,0.5,0.5,0.5,0.625,,0.625
17,7-1,2011,2012,TOR,NBA,Solomon Alabi\alabiso01,26,0,181,16,51,16,51,0,0,7,10,22,39,61,5,4,11,8,16,39,0.314,0.314,,0.314,0.7,0.352
18,6-10,2015,2015,PHI,NBA,Furkan Aldemir\aldemfu01,41,9,540,40,78,40,73,0,5,13,27,78,98,176,28,17,16,17,96,93,0.513,0.548,0,0.513,0.481,0.517
19,6-11,2011,2018,TOT,NBA,Cole Aldrich\aldrico01,339,23,3389,435,825,435,825,0,0,180,244,334,797,1131,183,137,233,199,509,1050,0.527,0.527,,0.527,0.738,0.563
20,6-11,2007,2018,TOT,NBA,LaMarcus Aldridge\aldrila01,869,828,30077,6844,14006,6733,13621,111,385,3072,3811,2330,4894,7224,1662,654,917,1354,2167,16871,0.489,0.494,0.288,0.493,0.806,0.538
21,6-8,2016,2016,POR,NBA,Cliff Alexander\alexacl01,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,0.5,,0.5,,0.5
22,6-1,2000,2005,TOT,NBA,Cory Alexander\alexaco01,71,3,757,62,203,41,133,21,70,38,52,16,80,96,131,49,3,72,97,183,0.305,0.308,0.3,0.357,0.731,0.405
23,6-5,2001,2003,TOT,NBA,Courtney Alexander\alexaco02,187,59,4067,655,1552,614,1431,41,121,339,417,124,285,409,227,111,18,203,377,1690,0.422,0.429,0.339,0.435,0.813,0.487
24,6-8,2009,2010,TOT,NBA,Joe Alexander\alexajo01,67,0,745,103,251,87,204,16,47,60,86,46,74,120,44,16,30,52,116,282,0.41,0.426,0.34,0.442,0.698,0.488
25,6-9,2002,2002,DET,NBA,Victor Alexander\alexavi01,15,0,97,18,51,18,49,0,2,4,8,7,22,29,6,0,1,5,6,40,0.353,0.367,0,0.353,0.5,0.367
26,6-10,2018,2018,BRK,NBA,Jarrett Allen\allenja01,72,31,1441,234,397,229,382,5,15,114,147,144,244,388,49,28,88,82,147,587,0.589,0.599,0.333,0.596,0.776,0.636
27,6-3,2018,2018,BOS,NBA,Kadeem Allen\allenka01,18,1,107,6,22,6,11,0,11,7,9,4,7,11,12,3,2,9,15,19,0.273,0.545,0,0.273,0.778,0.366
28,6-9,2012,2017,TOT,NBA,Lavoy Allen\allenla01,388,87,6905,828,1758,826,1743,2,15,189,277,715,1128,1843,384,120,214,257,706,1847,0.471,0.474,0.133,0.472,0.682,0.491
29,6-10,2002,2011,TOT,NBA,Malik Allen\allenma01,478,125,7262,1039,2365,1036,2349,3,16,253,325,466,887,1353,228,130,220,320,897,2334,0.439,0.441,0.188,0.44,0.778,0.465
30,6-5,2000,2014,TOT,NBA,Ray Allen\allenra02,1086,936,38806,7311,16059,4663,9504,2648,6555,3675,4085,949,3380,4329,3617,1212,215,2175,2279,20945,0.455,0.491,0.404,0.538,0.9,0.586
31,6-4,2005,2018,TOT,NBA,Tony Allen\allento01,820,441,18055,2588,5447,2463,5003,125,444,1353,1909,1021,1863,2884,1077,1158,337,1118,1947,6654,0.475,0.492,0.282,0.487,0.709,0.529
32,6-11,2008,2008,CLE,NBA,Lance Allred\allrela01,3,0,10,1,4,1,4,0,0,1,2,0,1,1,0,0,0,0,1,3,0.25,0.25,,0.25,0.5,0.307
33,6-6,2008,2012,TOT,NBA,Morris Almond\almonmo01,38,1,361,43,113,36,89,7,24,26,35,10,36,46,12,12,4,19,42,119,0.381,0.404,0.292,0.412,0.743,0.463
34,6-2,2000,2010,TOT,NBA,Rafer Alston\alstora01,671,452,19392,2450,6391,1454,3576,996,2815,903,1238,247,1644,1891,3202,813,105,1195,1408,6799,0.383,0.407,0.354,0.461,0.729,0.49
35,6-10,2000,2003,TOT,NBA,John Amaechi\amaecjo01,266,90,4454,634,1576,633,1563,1,13,491,727,217,503,720,219,84,83,352,450,1760,0.402,0.405,0.077,0.403,0.675,0.464
36,6-9,2011,2018,TOT,NBA,Al-Farouq Aminu\aminual01,589,348,14592,1628,3863,1198,2582,430,1281,724,997,824,2649,3473,723,573,347,746,1103,4410,0.421,0.464,0.336,0.477,0.726,0.513
37,6-9,2007,2016,TOT,NBA,Lou Amundson\amundlo01,428,42,5507,648,1368,648,1365,0,3,268,603,644,897,1541,190,152,306,299,835,1564,0.474,0.475,0,0.474,0.444,0.479
38,6-10,2002,2017,TOT,NBA,Chris Andersen\anderch01,695,45,12273,1336,2512,1321,2444,15,68,1068,1632,1176,2317,3493,337,312,991,513,1342,3755,0.532,0.541,0.221,0.535,0.654,0.581
39,6-11,2010,2011,TOT,NBA,David Andersen\anderda03,103,0,1264,203,461,168,360,35,101,60,89,74,218,292,57,20,21,59,159,501,0.44,0.467,0.347,0.478,0.674,0.501
40,6-6,2006,2017,TOT,NBA,Alan Anderson\anderal01,330,66,6793,843,2084,512,1121,331,963,404,495,151,563,714,371,182,31,290,602,2421,0.405,0.457,0.344,0.484,0.816,0.526
41,6-6,2010,2010,OKC,NBA,Antonio Anderson\anderan02,1,0,15,1,3,1,3,0,0,0,0,1,0,1,0,0,0,1,1,2,0.333,0.333,,0.333,,0.333
42,6-5,2000,2008,TOT,NBA,Derek Anderson\anderde01,511,364,15158,2055,5022,1448,3284,607,1738,1461,1718,365,1327,1692,1711,557,70,842,1021,6178,0.409,0.441,0.349,0.47,0.85,0.535
43,6-6,2011,2016,TOT,NBA,James Anderson\anderja01,247,83,4320,525,1276,329,665,196,611,176,233,108,452,560,291,121,55,216,292,1422,0.411,0.495,0.321,0.488,0.755,0.516
44,6-6,2016,2018,TOT,NBA,Justin Anderson\anderju01,168,19,2394,344,816,230,436,114,380,174,222,112,358,470,120,75,55,106,208,976,0.422,0.528,0.3,0.491,0.784,0.534
45,6-0,2000,2005,TOT,NBA,Kenny Anderson\anderke01,339,239,8655,1195,2768,1082,2458,113,310,460,598,202,672,874,1383,441,30,475,768,2963,0.432,0.44,0.365,0.452,0.769,0.489
46,6-9,2015,2018,SAS,NBA,Kyle Anderson\anderky01,257,100,4601,493,1031,444,886,49,145,220,300,147,773,920,444,241,122,202,302,1255,0.478,0.501,0.338,0.502,0.733,0.54
47,6-6,2000,2002,TOT,NBA,Nick Anderson\anderni01,108,72,2482,341,915,186,431,155,484,42,85,87,310,397,150,110,26,116,148,879,0.373,0.432,0.32,0.457,0.494,0.461
48,6-10,2009,2018,TOT,NBA,Ryan Anderson\anderry01,622,281,16433,2732,6457,1417,3011,1315,3446,1154,1350,1229,2123,3352,565,327,216,591,1237,7933,0.423,0.471,0.382,0.525,0.855,0.563
49,6-6,2000,2006,TOT,NBA,Shandon Anderson\andersh01,522,222,12206,1418,3185,1156,2333,262,852,735,983,396,1318,1714,813,424,144,728,1090,3833,0.445,0.495,0.308,0.486,0.748,0.53
50,7-2,2006,2006,CLE,NBA,Martynas Andriuskevicius\andrima01,6,0,9,0,1,0,1,0,0,0,0,1,3,4,0,2,0,0,1,0,0,0,,0,,0
51,6-10,2018,2018,IND,NBA,Ike Anigbogu\anigbik01,11,0,30,4,9,4,9,0,0,5,6,5,4,9,0,1,3,2,1,13,0.444,0.444,,0.444,0.833,0.558
52,7-0,2000,2000,CHI,NBA,Chris Anstey\anstech01,73,11,1007,161,364,160,358,1,6,116,147,90,190,280,65,29,25,80,180,439,0.442,0.447,0.167,0.444,0.789,0.512
53,6-11,2014,2018,MIL,NBA,Giannis Antetokounmpo\antetgi01,393,328,12862,2467,4872,2299,4281,168,591,1649,2211,589,2357,2946,1497,467,516,960,1162,6751,0.506,0.537,0.284,0.524,0.746,0.578
54,6-7,2016,2016,NYK,NBA,Thanasis Antetokounmpo\antetth01,2,0,6,3,4,3,3,0,1,0,0,0,1,1,0,0,0,0,2,6,0.75,1,0,0.75,,0.75
55,6-8,2004,2018,TOT,NBA,Carmelo Anthony\anthoca01,1054,1054,37835,9088,20240,7747,16379,1341,3861,5900,7268,1809,5075,6884,3160,1077,520,2824,3030,25417,0.449,0.473,0.347,0.482,0.812,0.542
