"","Player","Year","RPM1","RPM2","RPM3","Pos","Age","Ht","G","MP","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OBPM","DBPM","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","PF","PTS","ORtg","DRtg"
"1","A.J. Price",2012,-1.8,-0.09,-3.17,"PG",25,"74",52,792.166666666667,0.492,0.485666666666667,0.223833333333333,1.95,9.01666666666667,5.46666666666667,21.8,1.91666666666667,0.183333333333333,13.35,21.8666666666667,-0.3,-2.05,7.5,19.6,0.380166666666667,2.96666666666667,9.48333333333333,0.312829525483304,4.53333333333333,10.1166666666667,0.448105436573311,3.26666666666667,4.43333333333333,0.736842105263158,3.26666666666667,21.2333333333333,99.3333333333333,108
"2","A.J. Price",2011,-1.9,-1.8,-0.09,"PG",24,"74",54,841.666666666667,0.504666666666667,0.483333333333333,0.225666666666667,1.76666666666667,9.06666666666667,5.4,21.2333333333333,1.93333333333333,0.166666666666667,13.1333333333333,22.7,-0.233333333333333,-2.1,7.96666666666667,20.2666666666667,0.392,3.13333333333333,9.76666666666667,0.320819112627986,4.83333333333333,10.5,0.46031746031746,3.4,4.6,0.739130434782609,3.3,22.4666666666667,99.6666666666667,108.333333333333
"3","A.J. Price",2010,-3.4,-1.9,-1.8,"PG",23,"74",56,865,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2,0.2,13.2,22.7,0.2,-2,8.3,20.2,0.41,3.4,9.9,0.343434343434343,4.9,10.3,0.475728155339806,3.4,4.3,0.790697674418605,3,23.4,102,108
"4","Aaron Brooks",2014,-1.08,-2.29,-3.28,"PG",29,"72",59.3333333333333,1183.66666666667,0.542666666666667,0.425,0.164666666666667,2.03333333333333,7.5,4.7,19.7666666666667,1.53333333333333,0.733333333333333,16.2666666666667,18.9,0.133333333333333,-2.43333333333333,7.33333333333333,16.9333333333333,0.435666666666667,2.73333333333333,7.23333333333333,0.377880184331797,4.63333333333333,9.73333333333333,0.476027397260274,2.26666666666667,2.8,0.80952380952381,4.73333333333333,19.6666666666667,105,112.666666666667
"21","Aaron Brooks",2015,-2.29,-3.28,-3.4,"PG",30,"72",64.1666666666667,1331.66666666667,0.539166666666667,0.418166666666667,0.172666666666667,2.1,7.43333333333333,4.73333333333333,20.8,1.53333333333333,0.7,16,20.05,0.3,-2.38333333333333,7.68333333333333,17.9666666666667,0.430333333333333,2.85,7.51666666666667,0.379157427937916,4.85,10.4833333333333,0.462639109697933,2.58333333333333,3.15,0.82010582010582,4.8,20.8166666666667,104.666666666667,111.5
"11","Aaron Brooks",2008,-1.3,0.2,-3.5,"PG",23,"72",51,608,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0,-1.8,8.1,19.7,0.413,3.1,9.5,0.326315789473684,5,10.1,0.495049504950495,3.7,4.3,0.86046511627907,6,23.1,107,106
"22","Aaron Brooks",2013,-3.14,-1.08,-2.29,"PG",28,"72",76.6666666666667,1616.33333333333,0.674,0.543333333333333,0.294,2.3,7.83333333333333,5.03333333333333,34.9,1.8,0.466666666666667,18.7,31.9333333333333,0.4,-4.9,11.1333333333333,28.7,0.526,3.66666666666667,11.7,0.313390313390313,7.5,17,0.441176470588235,5.6,6.5,0.861538461538462,6.2,31.5333333333333,137,151
"12","Aaron Gordon",2015,0.63,0.47,0.72,"PF",19,"81",47,797,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,-2.8,0,6,13.3,0.447,0.8,3.1,0.258064516129032,5.1,10.3,0.495145631067961,2.8,3.9,0.717948717948718,5.3,15.6,101,107
"13","Aaron Gray",2008,-1.5,0.7,-1.8,"C",23,"84",61,613,0.529,0.005,0.485,12.5,18.7,15.5,11.4,1.8,2,18.7,22,-2.4,0.4,8.7,17.2,0.505,0,0.1,0,8.7,17.1,0.508771929824561,4.7,8.3,0.566265060240964,9.8,22,100,105
"23","Aaron Gray",2009,0.7,-1.8,-2,"C",24,"84",59.3333333333333,647,0.522,0.00533333333333333,0.441,12.8333333333333,19.7,16.2,10.8,1.53333333333333,1.93333333333333,18.2,19.5,-2.3,0.466666666666667,7.73333333333333,15.4666666666667,0.498333333333333,0,0.1,0,7.73333333333333,15.4,0.502164502164502,3.96666666666667,6.96666666666667,0.569377990430622,9.76666666666667,19.3666666666667,102.333333333333,105.666666666667
